name,red,rmax,rmin,rdelta,rresult,r_values,r_time,blue,bmax,bmin,bdelta,bresult,b_values,b_time
SN2012cg,"[15.411, 14.883, 14.593, 14.497, 14.133, 14.026, 13.615, 13.375, 13.279, 12.988, 12.575, 12.568, 12.481, 12.291, 12.233, 12.184, 12.108, 12.105, 12.107, 12.019, 11.994, 11.954, 11.994, 11.95, 11.928, 11.972, 11.972, 11.888]",11.888,19.704,7.816000000000001,0.6574697173620458,"[23.439862845445237, 22.636784032753322, 22.19569907881269, 22.04968474923234, 21.496047082906856, 21.33330194472876, 20.708178096212894, 20.343142272262025, 20.197127942681675, 19.754522006141247, 19.12635619242579, 19.11570931422722, 18.98338382804503, 18.69439713408393, 18.606180143295802, 18.531651995905833, 18.416057318321393, 18.411494370522007, 18.414536335721593, 18.280689866939607, 18.242665301944726, 18.181825997952913, 18.242665301944726, 18.175742067553735, 18.14228045035824, 18.20920368474923, 18.20920368474923, 18.081441146366426]","[56065.28, 56066.25, 56066.8, 56067.18, 56067.9, 56068.24, 56069.28, 56069.8, 56070.2, 56071.24, 56072.9, 56073.21, 56073.8, 56075.19, 56075.8, 56076.2, 56076.8, 56077.8, 56078.27, 56079.27, 56079.9, 56080.8, 56081.27, 56081.8, 56082.01, 56082.26, 56084.25, 56084.9]","[17.344, 15.906, 15.518, 15.488, 15.311, 15.276, 15.304, 15.321, 14.995, 14.884, 14.89, 14.871, 14.969, 14.809, 14.705, 14.799, 14.493, 14.45, 13.985, 13.629, 13.603, 13.295, 13.208, 13.263, 13.205, 13.035, 12.765, 12.849, 12.806, 12.895, 12.708, 12.681, 12.646, 12.761, 12.541, 12.452, 12.485, 12.429, 12.141, 12.205, 12.298, 12.297, 12.198, 12.223, 12.132, 12.17, 12.15, 12.167, 12.097]",12.097,19.761,7.664,0.6335455071505331,"[27.37609185803758, 25.106325939457204, 24.4938995302714, 24.446546972860123, 24.16716688413361, 24.111922233820458, 24.156117954070982, 24.18295106993737, 23.668386612734864, 23.493182150313153, 23.502652661795405, 23.47266270876827, 23.62734772964509, 23.374800756784968, 23.210645224425885, 23.359016570981208, 22.87602048538622, 22.808148486430063, 22.07418384655532, 21.512266831941545, 21.471227948851773, 20.985075026096034, 20.84775260960334, 20.93456563152401, 20.843017353862212, 20.57468619519833, 20.14851317849687, 20.281100339248432, 20.213228340292275, 20.35370759394572, 20.05854331941545, 20.0159260177453, 19.96068136743215, 20.142199504175363, 19.794947416492693, 19.65446816283925, 19.706555975991648, 19.618164535490607, 19.16357998434238, 19.26459877348643, 19.411391701461376, 19.409813282881004, 19.253549843423798, 19.293010307933198, 19.149374217118996, 19.209354123173277, 19.177785751565764, 19.20461886743215, 19.094129566805844]","[56064.24, 56065.28, 56065.7186, 56065.7637, 56065.8517, 56065.8979, 56066.05, 56066.25, 56066.8, 56067.0356, 56067.1022, 56067.1698, 56067.18, 56067.2377, 56067.302, 56067.3695, 56067.9, 56068.24, 56069.28, 56069.8, 56070.2, 56071.24, 56071.3131, 56071.3801, 56071.4474, 56071.8727, 56072.9, 56072.9303, 56073.21, 56073.4547, 56073.4553, 56073.5911, 56073.8, 56073.837, 56075.19, 56075.8, 56075.8644, 56076.2, 56076.8, 56077.8, 56077.8677, 56078.27, 56079.27, 56079.8689, 56079.9, 56080.6769, 56080.8, 56081.27, 56081.8]"
SN1994Q,[16.65],16.65,18.1,1.4500000000000028,0.087087087,[191.18793103448238],[49507.3],[17.08],17.08,19.63,2.5500000000000007,0.14929742388758788,[114.40250980392152],[49507.3]
SN2007cq,"[16.268, 16.177, 16.106]",16.106,19.058,2.951999999999998,0.18328573202533205,"[88.75759078590794, 88.26109823848243, 87.87372493224939]","[54276.48, 54278.41, 54280.47]","[16.564, 16.393, 16.357, 16.241]",16.241,20.985,4.744,0.29210024013299674,"[56.70656070826307, 56.1211452360877, 55.997899873524446, 55.600775927487355]","[54273.9563, 54275.93622, 54276.48, 54276.7905]"
SN2011dl,[17.018],17.018,17.827,0.809,0.047537901,[357.98803955500574],[55739.03],[17.461],17.461,19.764,2.303000000000001,0.1318939350552661,[132.38667867998257],[55739.03]
SN2000E,"[16.73, 15.63, 15.63, 13.91, 13.77, 14.2, 13.98, 13.8, 13.72, 14.0, 13.602, 13.58]",13.58,23.59,10.01,0.7371134020618556,"[22.696643356643357, 21.204335664335666, 21.204335664335666, 18.87090909090909, 18.68097902097902, 19.264335664335665, 18.965874125874127, 18.721678321678326, 18.613146853146855, 18.993006993006993, 18.45306293706294, 18.423216783216784]","[51560.75, 51562.8, 51562.8, 51569.77, 51570.75, 51571.74, 51571.87, 51573.77, 51573.82, 51574.77, 51574.79, 51578.75]","[17.84, 16.77, 16.77, 14.69, 15.78, 14.47, 14.52, 14.43, 14.35, 14.32]",14.32,25.82,11.5,0.803072626,"[22.214678260869565, 20.882295652173912, 20.882295652173912, 18.29224347826087, 19.64953043478261, 18.018295652173915, 18.08055652173913, 17.968486956521737, 17.86886956521739, 17.83151304347826]","[51560.75, 51562.8, 51562.8, 51569.77, 51569.79, 51570.75, 51571.74, 51573.77, 51573.82, 51574.79]"
SN1994M,[16.12],16.12,19.14,3.0199999999999996,0.18734491315136473,[86.04450331125831],[49477.21],[16.44],16.44,20.02,3.5799999999999983,0.21776155717761544,[75.49541899441346],[49477.21]
SN1993ae,[16.14],16.14,18.92,2.780000000000001,0.1722428748451054,[93.70489208633091],[49307.3],[16.59],16.59,19.34,2.75,0.16576250753465943,[100.08294545454545],[49302.1]
SN2000cn,"[17.464, 17.264, 17.049, 17.002, 16.843, 16.848, 16.693, 16.701, 16.647, 16.495, 16.478, 16.419]",16.419,20.769,4.349999999999998,0.2649369632742553,"[65.91756689655175, 65.16267034482762, 64.35115655172417, 64.173755862069, 63.5736131034483, 63.592485517241414, 63.00744068965521, 63.03763655172418, 62.83381448275865, 62.26009310344831, 62.19592689655177, 61.97323241379314]","[51698.44, 51699.35, 51700.34, 51700.44, 51701.4, 51701.42, 51702.43, 51702.48, 51703.3, 51705.48, 51706.43, 51707.42]","[17.833, 17.618, 17.349, 17.354, 17.178, 17.17, 17.008, 16.982, 16.921, 16.843, 16.735]",16.735,20.656,3.9209999999999994,0.23429937257245292,"[76.11202626880899, 75.19439683754145, 74.04629303749044, 74.06763325682223, 73.31645753634278, 73.28231318541191, 72.59089007906147, 72.4799209385361, 72.2195702626881, 71.88666284111197, 71.42571410354503]","[51698.44, 51699.35, 51700.34, 51700.44, 51701.4, 51701.42, 51702.43, 51702.48, 51703.3, 51705.48, 51706.43]"
SN2007le,"[14.685, 14.042, 13.707, 13.511]",13.511,16.404,2.8930000000000007,0.2141218266597588,"[68.58245247148287, 65.57948911164878, 64.01495921189075, 63.099592464569625]","[54388.29, 54391.21, 54394.17, 54400.21]","[15.657, 15.31, 15.189, 14.4805, 14.474, 14.346, 14.3421, 14.2181, 14.142, 14.128, 14.085, 14.011, 13.935]",13.935,17.442,3.5069999999999997,0.2516684607104413,"[62.212801539777594, 60.83400342172798, 60.35321214713431, 57.538000427716, 57.51217279726262, 57.003567151411474, 56.988070573139446, 56.495358853721136, 56.19297690333619, 56.13734816082122, 55.966488451668106, 55.672450812660394, 55.370466210436284]","[54387.27977, 54388.0522, 54388.29, 54391.16998, 54391.21, 54392.09155, 54392.14383, 54393.11968, 54394.08755, 54394.17, 54395.08741, 54398.00139, 54398.23]"
SN2006ef,"[15.607, 15.516, 15.502]",15.502,18.214,2.711999999999998,0.17494516836537208,"[89.21080899705022, 88.69064601769918, 88.61062094395288]","[53966.46, 53968.51, 53970.45]","[15.719, 15.629]",15.629,19.474,3.8450000000000006,0.24601701964297146,"[63.8939534460338, 63.52812509752925]","[53966.46, 53968.51]"
